flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.321,0.267,0.25,0.333,0.293
missing_or_inadequate_test_cases,0.087,0.144,0.161,0.224,0.154
low_contributor_acceptance_rate,0.8,0.651,0.686,0.649,0.696
negative_sentiment_in_comments,0.065,0.286,0.255,0.323,0.232
large_number_of_changed_lines,0.485,0.271,0.206,0.364,0.332
unclear_or_missing_pr_title,0.0,0.042,0.13,0.173,0.086
unclear_or_missing_pr_description,0.083,0.064,0.112,0.209,0.117
unclear_or_missing_commit_messages,0.0,0.062,0.118,0.192,0.093
poor_code_quality,0.0,0.0,0.0,0.0,0.0
unresponsive_after_feedback,0.143,0.167,0.133,0.0,0.111
fails_tests,0.25,0.25,0.182,0.0,0.17
breaks_compatibility,0.286,0.25,0.125,0.0,0.165
solution_incorrect_or_inefficient,0.292,0.143,0.14,0.286,0.215
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.933,0.909,0.918,0.952,0.928
includes_test_cases,0.667,0.678,0.674,0.808,0.707
high_contributor_acceptance_rate,0.876,0.875,0.904,0.86,0.879
positive_sentiment_in_comments,0.591,0.54,0.567,0.567,0.566
manageable_number_of_changed_lines,0.957,0.919,0.952,0.968,0.949
clear_pr_title,0.882,0.89,0.797,0.855,0.856
clear_pr_description,0.752,0.735,0.68,0.727,0.724
clear_commit_message,0.831,0.763,0.778,0.729,0.775
good_code_quality,0.076,0.138,0.103,0.0,0.079
responsive_to_feedback,0.575,0.073,0.313,0.595,0.389
