flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.321,0.267,0.255,0.0,0.211
missing_or_inadequate_test_cases,0.087,0.144,0.114,0.024,0.092
low_contributor_acceptance_rate,0.8,0.651,0.686,0.0,0.534
negative_sentiment_in_comments,0.065,0.259,0.273,0.0,0.149
large_number_of_changed_lines,0.485,0.281,0.246,0.0,0.253
unclear_or_missing_pr_title,0.0,0.043,0.048,0.0,0.023
unclear_or_missing_pr_description,0.083,0.064,0.067,0.0,0.054
unclear_or_missing_commit_messages,0.0,0.063,0.121,0.0,0.046
poor_code_quality,0.0,0.0,0.0,0.0,0.0
unresponsive_after_feedback,0.143,0.167,0.143,0.0,0.113
fails_tests,0.25,0.286,0.0,0.0,0.134
breaks_compatibility,0.286,0.25,0.133,0.0,0.167
solution_incorrect_or_inefficient,0.292,0.1,0.14,0.0,0.133
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.933,0.896,0.544,0.007,0.595
includes_test_cases,0.667,0.669,0.347,0.0,0.421
high_contributor_acceptance_rate,0.876,0.869,0.588,0.01,0.586
positive_sentiment_in_comments,0.591,0.543,0.396,0.0,0.382
manageable_number_of_changed_lines,0.957,0.908,0.598,0.007,0.618
clear_pr_title,0.882,0.875,0.496,0.008,0.565
clear_pr_description,0.752,0.719,0.47,0.011,0.488
clear_commit_message,0.831,0.753,0.439,0.008,0.508
good_code_quality,0.076,0.138,0.075,0.0,0.072
responsive_to_feedback,0.575,0.073,0.125,0.0,0.193
