model,condition,flag,precision,recall,f1,support
GPT-4o-mini,zero-shot,pr_not_aligned_with_issue,0.265,0.409,0.321,22
GPT-4o-mini,zero-shot,missing_or_inadequate_test_cases,0.444,0.048,0.087,83
GPT-4o-mini,zero-shot,low_contributor_acceptance_rate,0.75,0.857,0.8,14
GPT-4o-mini,zero-shot,negative_sentiment_in_comments,0.067,0.062,0.065,16
GPT-4o-mini,zero-shot,large_number_of_changed_lines,0.348,0.8,0.485,10
GPT-4o-mini,zero-shot,unclear_or_missing_pr_title,0.0,0.0,0.0,40
GPT-4o-mini,zero-shot,unclear_or_missing_pr_description,0.833,0.043,0.083,115
GPT-4o-mini,zero-shot,unclear_or_missing_commit_messages,0.0,0.0,0.0,60
GPT-4o-mini,zero-shot,poor_code_quality,0.0,0.0,0.0,4
GPT-4o-mini,zero-shot,unresponsive_after_feedback,0.333,0.091,0.143,11
GPT-4o-mini,zero-shot,fails_tests,0.25,0.25,0.25,4
GPT-4o-mini,zero-shot,breaks_compatibility,0.667,0.182,0.286,11
GPT-4o-mini,zero-shot,solution_incorrect_or_inefficient,0.7,0.184,0.292,38
GPT-4o-mini,zero-shot,overengineered_solution,0.0,0.0,0.0,6
GPT-4o-mini,zero-shot,clear_alignment_with_issue,0.918,0.949,0.933,273
GPT-4o-mini,zero-shot,includes_test_cases,0.515,0.944,0.667,142
GPT-4o-mini,zero-shot,high_contributor_acceptance_rate,0.779,1.0,0.876,208
GPT-4o-mini,zero-shot,positive_sentiment_in_comments,0.441,0.895,0.591,105
GPT-4o-mini,zero-shot,manageable_number_of_changed_lines,0.957,0.957,0.957,279
GPT-4o-mini,zero-shot,clear_pr_title,0.868,0.895,0.882,258
GPT-4o-mini,zero-shot,clear_pr_description,0.641,0.908,0.752,185
GPT-4o-mini,zero-shot,clear_commit_message,0.79,0.877,0.831,236
GPT-4o-mini,zero-shot,good_code_quality,0.04,0.692,0.076,13
GPT-4o-mini,zero-shot,responsive_to_feedback,0.675,0.5,0.575,104
GPT-4o-mini,one-shot-merged,pr_not_aligned_with_issue,0.211,0.364,0.267,22
GPT-4o-mini,one-shot-merged,missing_or_inadequate_test_cases,0.5,0.084,0.144,83
GPT-4o-mini,one-shot-merged,low_contributor_acceptance_rate,0.483,1.0,0.651,14
GPT-4o-mini,one-shot-merged,negative_sentiment_in_comments,0.179,0.467,0.259,15
GPT-4o-mini,one-shot-merged,large_number_of_changed_lines,0.17,0.8,0.281,10
GPT-4o-mini,one-shot-merged,unclear_or_missing_pr_title,0.167,0.025,0.043,40
GPT-4o-mini,one-shot-merged,unclear_or_missing_pr_description,0.364,0.035,0.064,114
GPT-4o-mini,one-shot-merged,unclear_or_missing_commit_messages,0.667,0.033,0.063,60
GPT-4o-mini,one-shot-merged,poor_code_quality,0.0,0.0,0.0,4
GPT-4o-mini,one-shot-merged,unresponsive_after_feedback,1.0,0.091,0.167,11
GPT-4o-mini,one-shot-merged,fails_tests,0.333,0.25,0.286,4
GPT-4o-mini,one-shot-merged,breaks_compatibility,0.4,0.182,0.25,11
GPT-4o-mini,one-shot-merged,solution_incorrect_or_inefficient,1.0,0.053,0.1,38
GPT-4o-mini,one-shot-merged,overengineered_solution,0.0,0.0,0.0,6
GPT-4o-mini,one-shot-merged,clear_alignment_with_issue,0.94,0.857,0.896,272
GPT-4o-mini,one-shot-merged,includes_test_cases,0.553,0.844,0.669,141
GPT-4o-mini,one-shot-merged,high_contributor_acceptance_rate,0.783,0.976,0.869,207
GPT-4o-mini,one-shot-merged,positive_sentiment_in_comments,0.574,0.514,0.543,105
