"index","accepted","red_flags","green_flags","error"
0,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_commit_message']",""
1,"yes","[]","['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Good code quality']",""
2,"yes","[]","['clear_alignment_with_issue', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'high_contributor_acceptance_rate']",""
3,"yes","[]","['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear commit message', 'Good code quality', 'Positive sentiment in comments']",""
4,"no","['breaks_compatibility', 'solution_incorrect_or_inefficient', 'unclear_or_missing_pr_description', 'unresponsive_after_feedback']","['includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_commit_message']",""
5,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines']",""
6,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
7,"yes","[]","['clear_alignment_with_issue', 'high_contributor_acceptance_rate', 'positive_sentiment_in_comments', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
8,"yes","['Large number of changed lines']","['Clear alignment with issue', 'Positive sentiment in comments', 'High contributor acceptance rate', 'Clear commit message', 'Good code quality', 'Responsive to feedback']",""
9,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'manageable_number_of_changed_lines']",""
10,"yes","['Unclear or missing PR title']","['Clear alignment with issue', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear commit message', 'Responsive to feedback']",""
11,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
