flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.172,0.25,0.239,0.238,0.225
missing_or_inadequate_test_cases,0.091,0.045,0.167,0.532,0.209
low_contributor_acceptance_rate,0.889,0.491,0.75,0.645,0.694
negative_sentiment_in_comments,0.333,0.292,0.24,0.095,0.24
large_number_of_changed_lines,0.375,0.467,0.348,0.222,0.353
unclear_or_missing_pr_title,0.0,0.0,0.045,0.047,0.023
unclear_or_missing_pr_description,0.05,0.205,0.127,0.337,0.18
unclear_or_missing_commit_messages,0.171,0.197,0.253,0.33,0.238
poor_code_quality,0.0,0.0,0.0,0.0,0.0
unresponsive_after_feedback,0.296,0.303,0.298,0.412,0.327
fails_tests,0.286,0.0,0.0,0.0,0.072
breaks_compatibility,0.235,0.133,0.375,0.25,0.248
solution_incorrect_or_inefficient,0.441,0.157,0.361,0.167,0.282
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.923,0.917,0.914,0.942,0.924
includes_test_cases,0.821,0.894,0.908,0.942,0.891
high_contributor_acceptance_rate,0.927,0.941,0.927,0.934,0.932
positive_sentiment_in_comments,0.588,0.575,0.579,0.553,0.574
manageable_number_of_changed_lines,0.974,0.971,0.964,0.968,0.969
clear_pr_title,0.921,0.914,0.873,0.91,0.905
clear_pr_description,0.78,0.764,0.78,0.731,0.764
clear_commit_message,0.871,0.844,0.87,0.83,0.854
good_code_quality,0.085,0.093,0.103,0.103,0.096
responsive_to_feedback,0.619,0.588,0.647,0.704,0.64
