"index","accepted","red_flags","green_flags","error"
0,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
1,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message']",""
2,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
3,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
4,"no","['Poor code quality', 'Breaks compatibility', 'Solution incorrect or inefficient', 'Large number of changed lines', 'Negative sentiment in comments']","['Clear alignment with issue', 'Clear PR title', 'Clear commit message', 'High contributor acceptance rate']",""
5,"yes","['Low contributor acceptance rate']","['Clear alignment with issue', 'Includes test cases is implied by documentation edit', 'Manageable number of changed lines', 'Clear PR title', 'Clear commit message']",""
6,"no","['pr_aligned_with_issue', 'low_contributor_acceptance_rate', 'unclear_or_missing_pr_description']","['includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
8,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
9,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'good_code_quality']",""
10,"yes","[]","['clear_alignment_with_issue', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'good_code_quality']",""
11,"yes","[]","['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear commit message', 'Good code quality', 'Positive sentiment in comments']",""
12,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'responsive_to_feedback']",""
13,"yes","[]","['Clear alignment with issue', 'Includes test cases', 'Manageable number of changed lines', 'Clear PR title', 'Clear commit message']",""
14,"yes","[]","['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title']",""
15,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'positive_sentiment_in_comments', 'responsive_to_feedback']",""
16,"yes","[]","['clear_alignment_with_issue', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message']",""
17,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'good_code_quality']",""
18,"yes","['Unclear or missing PR description', 'Large number of changed lines', 'Poor code quality']","['High contributor acceptance rate', 'Clear PR title', 'Clear commit message', 'Good code quality', 'Responsive to feedback']",""
19,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message']",""
20,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'responsive_to_feedback']",""
21,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
22,"no","['low_contributor_acceptance_rate', 'unresponsive_after_feedback']","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
23,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality']",""
24,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
25,"yes","['Large number of changed lines', 'Low contributor acceptance rate']","['Clear alignment with issue', 'Includes test cases', 'Clear PR title', 'Clear commit message', 'Clear PR description']",""
26,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'positive_sentiment_in_comments', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
27,"no","['Large number of changed lines', 'Unclear or missing PR description', 'Negative sentiment in comments']","['High contributor acceptance rate']",""
28,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
29,"no","['fails_tests', 'unresponsive_after_feedback', 'solution_incorrect_or_inefficient']","['clear_alignment_with_issue', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message']",""
30,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message']",""
31,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
32,"yes","['low_contributor_acceptance_rate']","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality']",""
33,"yes","[]","['clear_alignment_with_issue', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'high_contributor_acceptance_rate', 'responsive_to_feedback']",""
34,"no","['pr_not_aligned_with_issue', 'negative_sentiment_in_comments']","[]",""
35,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality', 'responsive_to_feedback']",""
36,"no","['low_contributor_acceptance_rate', 'unclear_or_missing_pr_description', 'unclear_or_missing_pr_title']","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_commit_message']",""
37,"yes","[]","['clear_alignment_with_issue', 'includes_test_cases', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'good_code_quality']",""
38,"no","['Clear alignment with issue', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear commit message']","[]",""
