flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.2,0.23,0.161,0.176,0.192
missing_or_inadequate_test_cases,0.068,0.085,0.265,0.283,0.175
low_contributor_acceptance_rate,0.686,0.368,0.491,0.537,0.52
negative_sentiment_in_comments,0.167,0.256,0.276,0.0,0.175
large_number_of_changed_lines,0.174,0.227,0.152,0.171,0.181
unclear_or_missing_pr_title,0.04,0.043,0.366,0.212,0.165
unclear_or_missing_pr_description,0.08,0.211,0.284,0.208,0.196
unclear_or_missing_commit_messages,0.137,0.029,0.208,0.348,0.18
poor_code_quality,0.0,0.0,0.0,0.0,0.0
unresponsive_after_feedback,0.211,0.2,0.194,0.2,0.201
fails_tests,0.2,0.222,0.118,0.0,0.135
breaks_compatibility,0.235,0.375,0.25,0.125,0.246
solution_incorrect_or_inefficient,0.213,0.118,0.31,0.381,0.256
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.923,0.892,0.918,0.942,0.919
includes_test_cases,0.717,0.741,0.773,0.796,0.757
high_contributor_acceptance_rate,0.883,0.938,0.899,0.876,0.899
positive_sentiment_in_comments,0.534,0.316,0.548,0.444,0.46
manageable_number_of_changed_lines,0.949,0.932,0.899,0.945,0.931
clear_pr_title,0.894,0.89,0.765,0.805,0.838
clear_pr_description,0.767,0.591,0.678,0.702,0.684
clear_commit_message,0.812,0.839,0.848,0.737,0.809
good_code_quality,0.081,0.075,0.066,0.058,0.07
responsive_to_feedback,0.644,0.47,0.607,0.716,0.609
