index,accepted,red_flags,green_flags,error
0,yes,['Unclear or missing commit messages'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Includes test cases']",
1,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Good code quality']",
2,yes,['Unclear or missing commit messages'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description']",
3,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
4,yes,['Unclear or missing commit messages'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR description', 'Good code quality', 'Includes test cases']",
5,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR description', 'Responsive to feedback']",
6,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Good code quality', 'Responsive to feedback']",
7,yes,['Solution is incorrect or inefficient'],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
8,yes,['Large number of changed lines'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Responsive to feedback', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Includes test cases']",
9,yes,['Unclear or missing commit messages'],"['Clear alignment with issue', 'Clear PR title', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines']",
10,yes,[],"['Clear alignment with issue', 'Clear PR title', 'Clear PR description', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Positive sentiment in comments', 'Responsive to feedback']",
11,yes,[],"['clear_alignment_with_issue', 'includes_test_cases', 'high_contributor_acceptance_rate', 'manageable_number_of_changed_lines', 'clear_pr_title', 'clear_pr_description', 'clear_commit_message', 'responsive_to_feedback']",
12,yes,[],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
13,yes,[],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Responsive to feedback']",
14,yes,['Overengineered solution'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR description', 'Includes test cases', 'Responsive to feedback']",
15,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
16,yes,['Missing or inadequate test cases'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
17,yes,[],"['Clear PR title', 'Clear PR description', 'Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines']",
18,yes,['Overengineered solution'],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
19,yes,"['Unclear or missing PR title', 'Unclear or missing PR description']","['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Includes test cases']",
20,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines']",
21,yes,[],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
22,yes,"['Large number of changed lines', 'Unclear or missing commit messages']","['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Responsive to feedback', 'Good code quality']",
23,no,"['Missing or inadequate test cases', 'Unclear or missing commit messages', 'Solution is incorrect or inefficient']","['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines']",
24,yes,[],"['Clear alignment with issue', 'Manageable number of changed lines']",
25,yes,['Low contributor acceptance rate'],"['Clear alignment with issue', 'Includes test cases', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message']",
26,yes,[],"['Clear alignment with issue', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR description', 'Clear PR title', 'Includes test cases', 'Good code quality', 'Responsive to feedback', 'Clear commit message']",
27,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Responsive to feedback']",
28,yes,['Low contributor acceptance rate'],"['Clear alignment with issue', 'Clear PR title', 'Clear PR description', 'Manageable number of changed lines']",
29,yes,['Unclear or missing PR description'],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear commit message']",
30,yes,[],"['Clear alignment with issue', 'Includes test cases', 'Clear PR title', 'Clear PR description', 'Clear commit message']",
31,yes,[],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear commit message', 'Good code quality', 'Responsive to feedback']",
32,yes,[],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description']",
33,yes,['Unclear or missing PR description'],"['Clear alignment with issue', 'Includes test cases', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Responsive to feedback']",
34,yes,['Unclear or missing commit messages'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Manageable number of changed lines', 'Clear PR description']",
35,yes,['Missing or inadequate test cases'],"['Clear alignment with issue', 'High contributor acceptance rate', 'Positive sentiment in comments', 'Manageable number of changed lines', 'Clear PR title', 'Clear PR description', 'Clear commit message', 'Good code quality', 'Responsive to feedback']",
36,yes,['Unclear or missing PR description'],"['Clear alignment with issue', 'Includes test cases', 'Manageable number of changed lines', 'Responsive to feedback']",
