flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.2,0.237,0.107,0.0,0.136
missing_or_inadequate_test_cases,0.068,0.067,0.085,0.0,0.055
low_contributor_acceptance_rate,0.686,0.389,0.48,0.0,0.389
negative_sentiment_in_comments,0.167,0.323,0.167,0.0,0.164
large_number_of_changed_lines,0.174,0.143,0.162,0.0,0.12
unclear_or_missing_pr_title,0.04,0.044,0.275,0.0,0.09
unclear_or_missing_pr_description,0.065,0.125,0.165,0.0,0.089
unclear_or_missing_commit_messages,0.111,0.03,0.063,0.0,0.051
poor_code_quality,0.0,0.0,0.0,0.0,0.0
unresponsive_after_feedback,0.211,0.105,0.087,0.0,0.101
fails_tests,0.2,0.222,0.2,0.0,0.156
breaks_compatibility,0.235,0.429,0.267,0.0,0.233
solution_incorrect_or_inefficient,0.213,0.13,0.128,0.053,0.131
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.923,0.799,0.602,0.029,0.588
includes_test_cases,0.717,0.688,0.579,0.055,0.51
high_contributor_acceptance_rate,0.883,0.845,0.613,0.038,0.595
positive_sentiment_in_comments,0.534,0.308,0.414,0.019,0.319
manageable_number_of_changed_lines,0.948,0.844,0.615,0.036,0.611
clear_pr_title,0.894,0.818,0.564,0.038,0.578
clear_pr_description,0.767,0.543,0.517,0.021,0.462
clear_commit_message,0.811,0.769,0.617,0.05,0.562
good_code_quality,0.081,0.064,0.073,0.0,0.055
responsive_to_feedback,0.647,0.439,0.434,0.038,0.39
