flag,zero-shot,one-shot-merged,one-shot-unmerged,few-shot,Average
pr_not_aligned_with_issue,0.278,0.069,0.114,0.194,0.164
missing_or_inadequate_test_cases,0.61,0.732,0.731,0.705,0.694
low_contributor_acceptance_rate,0.88,0.833,0.88,0.714,0.827
negative_sentiment_in_comments,0.353,0.457,0.387,0.0,0.299
large_number_of_changed_lines,0.737,0.737,0.778,0.667,0.73
unclear_or_missing_pr_title,0.125,0.08,0.14,0.344,0.172
unclear_or_missing_pr_description,0.098,0.436,0.422,0.28,0.309
unclear_or_missing_commit_messages,0.315,0.34,0.418,0.291,0.341
poor_code_quality,0.0,0.182,0.133,0.0,0.079
unresponsive_after_feedback,0.444,0.286,0.5,0.0,0.308
fails_tests,0.0,0.0,0.0,0.0,0.0
breaks_compatibility,0.545,0.333,0.5,0.235,0.403
solution_incorrect_or_inefficient,0.492,0.36,0.452,0.48,0.446
overengineered_solution,0.0,0.0,0.0,0.0,0.0
clear_alignment_with_issue,0.956,0.948,0.937,0.926,0.942
includes_test_cases,0.942,0.913,0.92,0.911,0.922
high_contributor_acceptance_rate,0.998,1.0,0.993,0.954,0.986
positive_sentiment_in_comments,0.482,0.16,0.541,0.303,0.372
manageable_number_of_changed_lines,0.977,0.982,0.975,0.948,0.97
clear_pr_title,0.872,0.906,0.875,0.87,0.881
clear_pr_description,0.743,0.776,0.743,0.738,0.75
clear_commit_message,0.723,0.742,0.791,0.692,0.737
good_code_quality,0.067,0.082,0.103,0.096,0.087
responsive_to_feedback,0.695,0.679,0.689,0.654,0.679
